Date,Latitude,Longitude,Altitude,NO2,PM2.5,O3,PM10,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),snowfall (cm),surface_pressure (hPa),cloud_cover (%),wind_speed_10m (km/h),wind_direction_10m (°),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³),is_day (),PM2.5/N02,PM2.5/03,Weekend,Season_Autumn,Season_Spring,Season_Summer,Season_Winter
2023-08-27 13:35:00+00:00,46.234818,15.267305,240.0,1.791759469228055,3.091042453358316,102.0,3.4657359027997265,30.5,49.0,18.177991763071482,21.999810621007914,0.0,0.0,0.0,6.884589000950298,25.0,15.9,186.0,16.33941029999794,-1.3823023398503531,1.0,1.2992829841302609,-1.5339303599259553,1,False,False,True,False
2023-08-27 14:35:00+00:00,46.234818,15.267305,240.0,2.302585092994046,2.833213344056216,102.0,3.2188758248682006,31.0,47.0,17.889579873372135,22.059229797680306,0.0,0.0,0.0,6.884281922796495,32.0,12.3,183.0,16.480981613090705,-1.3862943611198906,1.0,0.5306282510621704,-1.791759469228055,1,False,False,True,False
2023-08-27 15:35:00+00:00,46.234818,15.267305,240.0,2.70805020110221,2.772588722239781,99.0,3.1780538303479458,31.4,44.0,17.312577839021007,22.355929962930396,0.0,0.0,0.0,6.883769916231626,26.0,9.8,186.0,16.52810020251417,-1.3903023825174294,1.0,0.06453852113757116,-1.8225311278948086,1,False,False,True,False
2023-08-27 16:35:00+00:00,46.234818,15.267305,240.0,2.1972245773362196,2.833213344056216,104.0,3.295836866004329,30.5,52.0,18.850728058805387,22.829299994088363,0.0,0.0,0.0,6.883155162113904,28.0,3.1,234.0,16.38663681246778,-1.3903023825174294,1.0,0.6359887667199967,-1.8111775550851565,1,False,False,True,False
2023-08-27 17:35:00+00:00,46.234818,15.267305,240.0,2.3978952727983707,2.833213344056216,103.0,3.2188758248682006,28.4,71.0,22.018243575958415,22.711111362093753,0.0,0.0,0.0,6.882847643275952,29.0,2.5,82.0,16.102730485838674,-1.3903023825174294,1.0,0.4353180712578455,-1.8015156441734197,1,False,False,True,False
2023-08-27 18:35:00+00:00,46.234818,15.267305,240.0,1.0986122886681098,2.833213344056216,105.0,3.258096538021482,26.4,70.0,19.81125190332986,20.38512510969395,0.0,0.0,0.0,6.8826425781670615,19.0,6.1,130.0,15.482976080139512,-1.3903023825174294,0.0,1.7346010553881064,-1.8207470061013074,1,False,False,True,False
2023-08-27 19:35:00+00:00,46.234818,15.267305,240.0,1.6094379124341003,2.8903717578961645,97.0,3.4011973816621555,25.1,68.0,18.177991763071482,18.871010527248846,0.0,0.0,0.0,6.883360122147415,4.0,8.6,178.0,14.905015988040622,-1.3903023825174294,0.0,1.2809338454620642,-1.684339220607218,1,False,False,True,False
2023-08-27 20:35:00+00:00,46.234818,15.267305,240.0,3.295836866004329,2.9444389791664403,67.0,3.4965075614664802,23.1,71.0,17.023985782493437,17.39844022004227,0.0,0.0,0.0,6.88356504018092,27.0,7.6,211.0,14.46764492518726,-1.3903023825174294,0.0,-0.3513978868378886,-1.2602536402245257,1,False,False,True,False
2023-08-27 21:35:00+00:00,46.234818,15.267305,240.0,2.8903717578961645,2.995732273553991,60.0,3.5553480614894135,21.4,81.0,17.601108878962588,16.90309874855954,0.0,0.0,0.0,6.883257647381737,70.0,3.7,241.0,14.02676682833573,-1.3862943611198906,0.0,0.10536051565782635,-1.0986122886681098,1,False,False,True,False
2023-08-27 22:35:00+00:00,46.234818,15.267305,240.0,3.1354942159291497,2.995732273553991,48.0,3.5263605246161616,22.1,78.0,17.50493858469194,17.460194875452785,0.0,0.0,0.0,6.883155162113904,71.0,1.9,248.0,13.879000814144625,-1.3862943611198906,0.0,-0.13976194237515874,-0.8754687373538999,1,False,False,True,False
